type_school,school_accreditation,gender,interest,residence,parent_age,parent_salary,house_area,average_grades,parent_was_in_college,in_college
Academic,A,Male,Less Interested,Urban,56,6950000,83,84.09,FALSE,TRUE
Academic,A,Male,Less Interested,Urban,57,4410000,76.8,86.91,FALSE,TRUE
Academic,B,Female,Very Interested,Urban,50,6500000,80.6,87.43,FALSE,TRUE
Vocational,B,Male,Very Interested,Rural,49,6600000,78.2,82.12,TRUE,TRUE
Academic,A,Female,Very Interested,Urban,57,5250000,75.1,86.79,FALSE,FALSE
Vocational,B,Female,Less Interested,Rural,48,3770000,65.3,86.79,TRUE,FALSE
Academic,A,Male,Very Interested,Rural,52,6680000,85.5,90.39,TRUE,TRUE
Academic,B,Male,Very Interested,Rural,53,5890000,83.3,84.65,TRUE,FALSE
Academic,B,Female,Uncertain,Rural,52,6730000,80.3,88.5,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,47,3880000,68,85.43,TRUE,FALSE
Vocational,A,Male,Not Interested,Rural,57,5680000,67.1,89.45,TRUE,FALSE
Vocational,B,Male,Uncertain,Rural,48,5950000,60.7,84.96,TRUE,FALSE
Vocational,B,Male,Uncertain,Rural,47,6930000,65.4,86.23,TRUE,FALSE
Academic,B,Male,Very Interested,Rural,53,7130000,88.5,91.92,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,51,3370000,67.1,84.09,FALSE,FALSE
Vocational,A,Female,Less Interested,Urban,53,6940000,50.1,89.71,TRUE,TRUE
Academic,B,Male,Very Interested,Rural,48,3970000,63.5,86.38,TRUE,FALSE
Vocational,B,Female,Very Interested,Rural,49,6790000,75.9,85.68,TRUE,FALSE
Vocational,A,Female,Less Interested,Rural,47,7180000,68.3,84.9,FALSE,FALSE
Vocational,B,Female,Very Interested,Rural,47,4090000,54.5,85.94,TRUE,FALSE
Vocational,B,Female,Very Interested,Urban,52,6680000,64.5,87.64,TRUE,TRUE
Academic,B,Female,Quiet Interested,Urban,56,2600000,77.5,86.5,TRUE,FALSE
Academic,A,Female,Very Interested,Urban,51,3900000,57.9,83.18,FALSE,FALSE
Academic,B,Female,Quiet Interested,Urban,60,4250000,58.1,83.99,FALSE,FALSE
Academic,B,Male,Very Interested,Urban,54,6400000,83.8,88.3,FALSE,TRUE
Vocational,A,Male,Not Interested,Urban,51,5760000,71.5,83.42,FALSE,TRUE
Vocational,B,Male,Very Interested,Rural,55,4950000,94.6,85.39,TRUE,FALSE
Vocational,A,Male,Uncertain,Urban,53,4720000,78.5,82.26,FALSE,TRUE
Vocational,B,Male,Not Interested,Rural,51,4890000,90,87.36,TRUE,FALSE
Vocational,B,Female,Uncertain,Rural,50,6450000,78.4,85.86,TRUE,FALSE
Vocational,A,Male,Very Interested,Rural,49,6470000,74.6,86.32,TRUE,TRUE
Vocational,B,Male,Less Interested,Urban,54,5080000,40.7,82.39,TRUE,FALSE
Academic,A,Male,Very Interested,Urban,60,3230000,79.6,85.96,FALSE,FALSE
Academic,B,Male,Less Interested,Rural,52,6130000,76.1,82.7,TRUE,FALSE
Vocational,A,Female,Very Interested,Rural,52,5700000,102.8,85.31,TRUE,TRUE
Academic,A,Female,Very Interested,Urban,53,5900000,79.7,88.96,FALSE,TRUE
Academic,A,Male,Uncertain,Urban,55,6610000,76.1,89.83,FALSE,TRUE
Vocational,A,Female,Very Interested,Rural,48,5940000,62.4,83.67,TRUE,FALSE
Academic,A,Male,Less Interested,Urban,54,7310000,54.6,83.57,FALSE,FALSE
Vocational,B,Female,Not Interested,Rural,53,4660000,80.2,86.73,TRUE,FALSE
Academic,A,Female,Not Interested,Urban,50,5630000,69.9,80.5,FALSE,TRUE
Academic,B,Female,Less Interested,Urban,53,3970000,65.6,88.49,TRUE,FALSE
Vocational,B,Female,Very Interested,Urban,53,5550000,82.9,83.74,TRUE,TRUE
Vocational,A,Female,Very Interested,Rural,52,6680000,89.2,89.35,TRUE,TRUE
Vocational,A,Female,Very Interested,Urban,50,5570000,75.8,83.55,FALSE,TRUE
Academic,A,Male,Uncertain,Urban,50,2660000,64.6,79.92,TRUE,FALSE
Academic,A,Female,Uncertain,Rural,51,4720000,57.2,84.81,TRUE,FALSE
Vocational,A,Male,Very Interested,Urban,55,4740000,97.1,90.49,FALSE,TRUE
Academic,A,Female,Uncertain,Rural,54,7260000,77.1,89.02,TRUE,TRUE
Vocational,A,Male,Uncertain,Rural,53,5570000,79.7,88.42,FALSE,FALSE
Vocational,A,Male,Very Interested,Rural,46,7460000,89.7,90.78,TRUE,TRUE
Vocational,A,Male,Less Interested,Urban,56,6110000,61.6,87.56,FALSE,TRUE
Vocational,B,Female,Uncertain,Rural,51,5930000,79.8,92.53,TRUE,TRUE
Academic,B,Female,Less Interested,Urban,51,3850000,57.2,84.37,FALSE,FALSE
Vocational,B,Male,Uncertain,Rural,51,6540000,87.1,88.19,TRUE,FALSE
Vocational,A,Male,Very Interested,Urban,55,4880000,88.2,93.05,FALSE,TRUE
Vocational,A,Male,Uncertain,Rural,55,4590000,75,94.03,TRUE,TRUE
Vocational,A,Male,Uncertain,Rural,47,6390000,70.3,84.25,TRUE,FALSE
Academic,A,Female,Quiet Interested,Urban,46,7610000,59.8,83.17,FALSE,FALSE
Academic,A,Male,Very Interested,Urban,55,3760000,87.1,91.15,TRUE,TRUE
Academic,A,Female,Not Interested,Rural,49,6220000,84,82.48,TRUE,TRUE
Academic,B,Male,Less Interested,Rural,49,6210000,82.3,83.72,FALSE,FALSE
Vocational,A,Male,Not Interested,Urban,51,4800000,66.2,79.17,FALSE,TRUE
Vocational,A,Female,Very Interested,Rural,48,5840000,79.7,85.51,TRUE,FALSE
Academic,A,Male,Quiet Interested,Urban,55,5610000,82.4,82.49,FALSE,FALSE
Vocational,A,Male,Less Interested,Urban,54,5620000,68.6,86,FALSE,TRUE
Vocational,B,Male,Uncertain,Rural,52,6300000,77.8,86.73,TRUE,FALSE
Academic,A,Male,Very Interested,Urban,52,4740000,50.9,84.78,FALSE,FALSE
Vocational,A,Male,Not Interested,Rural,51,5720000,84.1,86.89,TRUE,TRUE
Vocational,A,Female,Very Interested,Rural,53,6200000,81.2,89.19,TRUE,TRUE
Academic,A,Female,Very Interested,Urban,53,5570000,93.5,88.92,FALSE,TRUE
Vocational,B,Male,Uncertain,Rural,49,6700000,78.9,87.54,TRUE,FALSE
Academic,B,Female,Very Interested,Rural,47,4100000,60.6,83.24,TRUE,FALSE
Academic,A,Female,Less Interested,Urban,57,3200000,74.8,84.93,FALSE,FALSE
Vocational,B,Male,Not Interested,Rural,54,7570000,74.6,93.57,TRUE,TRUE
Vocational,B,Female,Quiet Interested,Urban,55,4200000,51.2,84.02,FALSE,FALSE
Academic,B,Male,Uncertain,Urban,57,4500000,50.7,80.55,FALSE,TRUE
Vocational,A,Male,Very Interested,Rural,54,5750000,94.1,88.87,FALSE,TRUE
Academic,B,Male,Uncertain,Rural,50,8390000,81.4,89.21,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,52,6550000,79.4,91.17,FALSE,TRUE
Academic,B,Female,Very Interested,Urban,54,4730000,88.4,82.52,FALSE,FALSE
Vocational,B,Male,Uncertain,Rural,50,5540000,86.8,85.88,TRUE,FALSE
Academic,B,Male,Less Interested,Urban,58,5030000,69.9,82.39,FALSE,TRUE
Vocational,A,Male,Uncertain,Urban,52,5920000,76,86.2,FALSE,TRUE
Academic,A,Female,Quiet Interested,Urban,56,3990000,61,84.48,FALSE,FALSE
Vocational,B,Female,Quiet Interested,Urban,56,5280000,56,88.38,FALSE,FALSE
Vocational,A,Male,Less Interested,Urban,55,6090000,75.3,89.31,TRUE,TRUE
Vocational,A,Male,Less Interested,Urban,51,7040000,57.6,87.37,TRUE,TRUE
Vocational,A,Female,Very Interested,Urban,52,5420000,83.4,83.14,FALSE,TRUE
Vocational,A,Male,Very Interested,Urban,53,5510000,76.4,83.7,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,55,4740000,65,87.56,FALSE,FALSE
Vocational,B,Male,Quiet Interested,Urban,54,3240000,54.5,81.7,FALSE,FALSE
Vocational,A,Male,Quiet Interested,Urban,60,6650000,96.7,92.76,FALSE,TRUE
Academic,B,Male,Less Interested,Urban,52,4070000,58,85.08,TRUE,FALSE
Vocational,B,Male,Very Interested,Rural,41,9110000,79.2,91.7,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,49,7480000,84.1,87.4,TRUE,TRUE
Vocational,A,Male,Uncertain,Rural,48,5740000,65.2,83.28,FALSE,FALSE
Vocational,A,Female,Very Interested,Urban,54,6020000,84.3,87.17,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,51,6460000,87.2,84.75,TRUE,TRUE
Vocational,A,Male,Uncertain,Rural,52,5610000,104.2,83.73,FALSE,TRUE
Academic,A,Female,Uncertain,Urban,52,3520000,69.2,82.44,FALSE,FALSE
Academic,A,Male,Very Interested,Urban,55,3100000,82.5,84.05,FALSE,FALSE
Vocational,A,Male,Uncertain,Rural,52,5570000,96.9,85.81,FALSE,TRUE
Academic,A,Female,Less Interested,Rural,51,5050000,74.7,84.28,FALSE,FALSE
Academic,A,Female,Very Interested,Urban,52,5430000,81.5,90.54,FALSE,TRUE
Vocational,A,Female,Uncertain,Rural,53,4760000,82.8,85.77,TRUE,FALSE
Vocational,A,Female,Very Interested,Rural,49,6370000,97.9,85.37,TRUE,TRUE
Academic,B,Male,Very Interested,Rural,54,5840000,86.7,88.18,TRUE,TRUE
Academic,A,Male,Less Interested,Urban,59,4370000,73.4,84.01,FALSE,FALSE
Academic,A,Male,Quiet Interested,Urban,57,6090000,34,83.5,FALSE,FALSE
Vocational,A,Male,Uncertain,Rural,51,5200000,74.7,86.62,TRUE,FALSE
Academic,B,Female,Less Interested,Urban,52,2960000,79.4,86.99,TRUE,FALSE
Academic,B,Male,Less Interested,Rural,52,8160000,75.9,93.55,TRUE,TRUE
Vocational,B,Female,Quiet Interested,Urban,52,4540000,45.9,84.98,TRUE,FALSE
Academic,B,Female,Very Interested,Rural,49,7790000,80.2,87.53,TRUE,TRUE
Vocational,A,Male,Less Interested,Rural,43,7510000,60.5,84.64,FALSE,FALSE
Vocational,A,Male,Uncertain,Rural,50,6030000,75.9,86.34,FALSE,FALSE
Academic,A,Male,Very Interested,Rural,53,4260000,76.2,89.55,FALSE,FALSE
Vocational,B,Female,Less Interested,Urban,60,4720000,77.6,83.62,FALSE,TRUE
Vocational,B,Male,Not Interested,Rural,55,2920000,82.5,85.43,TRUE,FALSE
Vocational,B,Female,Quiet Interested,Urban,49,4150000,46.1,81.91,TRUE,FALSE
Academic,B,Male,Uncertain,Rural,48,7700000,67,88.34,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,52,6710000,77.8,88.17,TRUE,TRUE
Vocational,B,Female,Not Interested,Rural,46,6650000,77.7,83.72,TRUE,TRUE
Academic,B,Female,Less Interested,Urban,56,6990000,67.5,89.74,TRUE,TRUE
Academic,A,Female,Less Interested,Urban,54,5230000,49.8,82.32,FALSE,FALSE
Academic,B,Male,Not Interested,Rural,46,7200000,76,92.99,TRUE,TRUE
Academic,B,Male,Less Interested,Urban,50,3430000,59.1,84.1,FALSE,FALSE
Vocational,B,Male,Not Interested,Rural,50,4850000,71.6,93.53,TRUE,TRUE
Academic,B,Male,Less Interested,Urban,53,3510000,70.5,85.29,TRUE,FALSE
Vocational,B,Female,Very Interested,Rural,55,5650000,73,84.81,FALSE,FALSE
Academic,A,Female,Uncertain,Rural,46,2780000,62,79.02,TRUE,FALSE
Vocational,B,Male,Uncertain,Rural,53,6380000,89.6,88.18,TRUE,TRUE
Vocational,B,Male,Quiet Interested,Rural,50,5070000,49.3,85.72,TRUE,FALSE
Academic,B,Female,Uncertain,Rural,50,4410000,90.6,96.56,TRUE,TRUE
Vocational,B,Male,Uncertain,Rural,49,4190000,87.2,83.54,TRUE,FALSE
Academic,B,Female,Very Interested,Urban,53,4930000,89.1,92.08,TRUE,TRUE
Academic,A,Female,Very Interested,Urban,49,4100000,58.4,83.16,FALSE,FALSE
Academic,A,Female,Less Interested,Urban,53,4510000,52.6,81.87,FALSE,FALSE
Academic,A,Male,Quiet Interested,Urban,53,3320000,63.4,83.62,FALSE,FALSE
Vocational,A,Male,Very Interested,Rural,54,5890000,85.6,88.55,FALSE,TRUE
Academic,A,Female,Quiet Interested,Urban,58,4950000,50.4,83.52,FALSE,FALSE
Vocational,A,Male,Less Interested,Rural,48,8120000,68.8,82.45,FALSE,FALSE
Academic,A,Female,Uncertain,Rural,47,6360000,84.5,82.23,TRUE,TRUE
Vocational,B,Female,Uncertain,Rural,53,3980000,80.5,84.13,TRUE,FALSE
Academic,B,Male,Very Interested,Rural,50,6460000,79.3,86.48,TRUE,TRUE
Vocational,A,Female,Uncertain,Rural,49,5710000,74.3,82.02,TRUE,TRUE
Academic,B,Female,Less Interested,Urban,56,5670000,75.3,83.71,FALSE,FALSE
Vocational,B,Female,Uncertain,Rural,42,8080000,83,89.39,TRUE,TRUE
Academic,B,Female,Less Interested,Urban,49,4840000,54.9,85.81,TRUE,FALSE
Academic,B,Female,Uncertain,Rural,48,5020000,88,92.47,TRUE,TRUE
Vocational,B,Female,Uncertain,Rural,46,7080000,46.3,84.33,TRUE,TRUE
Academic,B,Female,Very Interested,Urban,58,5390000,74.9,86.92,FALSE,TRUE
Academic,B,Female,Uncertain,Rural,52,4890000,109.1,80.65,TRUE,TRUE
Vocational,B,Male,Uncertain,Rural,55,3610000,79,83.12,TRUE,FALSE
Vocational,A,Female,Very Interested,Rural,49,6750000,77.4,86.38,TRUE,TRUE
Vocational,A,Male,Uncertain,Urban,56,3970000,84.7,86.49,FALSE,FALSE
Vocational,B,Female,Uncertain,Rural,52,4150000,78.3,84.49,TRUE,FALSE
Academic,A,Female,Less Interested,Urban,55,6960000,78.5,83.84,FALSE,FALSE
Vocational,B,Female,Quiet Interested,Urban,54,3680000,51.7,85.09,TRUE,FALSE
Vocational,B,Male,Uncertain,Rural,54,4640000,84.3,92.8,TRUE,TRUE
Academic,B,Male,Very Interested,Urban,52,6750000,90.1,86.23,FALSE,TRUE
Academic,A,Male,Less Interested,Urban,54,3650000,76.4,87.09,FALSE,FALSE
Academic,A,Female,Very Interested,Urban,56,3700000,72.7,85.14,FALSE,FALSE
Academic,B,Male,Not Interested,Rural,49,7570000,62.3,89.95,TRUE,TRUE
Academic,B,Male,Uncertain,Urban,53,6160000,80.8,91.16,TRUE,TRUE
Vocational,B,Female,Uncertain,Rural,54,4840000,84.6,86.15,TRUE,FALSE
Academic,A,Female,Very Interested,Urban,59,2910000,79.6,85.24,FALSE,FALSE
Vocational,A,Female,Less Interested,Rural,49,5920000,100.2,83.94,TRUE,TRUE
Academic,B,Female,Less Interested,Urban,50,3360000,63.5,84.98,TRUE,FALSE
Vocational,A,Male,Uncertain,Urban,55,5610000,65,88.23,FALSE,TRUE
Academic,B,Female,Not Interested,Rural,50,8290000,67.4,89.16,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,60,1830000,75.9,81.19,FALSE,FALSE
Vocational,B,Male,Less Interested,Rural,50,6680000,87.9,86.56,TRUE,TRUE
Academic,A,Male,Less Interested,Urban,53,4180000,69.3,80.96,FALSE,FALSE
Academic,B,Male,Very Interested,Rural,49,3770000,66.7,85.93,TRUE,FALSE
Vocational,A,Male,Very Interested,Rural,52,6140000,86.3,87.28,FALSE,TRUE
Academic,B,Female,Uncertain,Rural,52,5340000,85.2,95.1,TRUE,TRUE
Academic,A,Female,Less Interested,Urban,51,4720000,104.5,87.24,FALSE,TRUE
Vocational,A,Male,Uncertain,Rural,52,5720000,55,85.31,TRUE,FALSE
Academic,A,Female,Less Interested,Urban,53,5310000,72.3,81.04,FALSE,FALSE
Academic,A,Male,Very Interested,Urban,51,7430000,74.3,88.84,FALSE,TRUE
Vocational,B,Male,Uncertain,Rural,55,4830000,83.3,87.3,TRUE,FALSE
Academic,B,Female,Uncertain,Rural,50,5690000,75.2,91.47,TRUE,TRUE
Academic,A,Female,Less Interested,Rural,44,5410000,36.6,83.48,FALSE,FALSE
Vocational,B,Female,Uncertain,Rural,54,5490000,81.3,91.27,TRUE,TRUE
Vocational,A,Male,Not Interested,Urban,55,3660000,77.5,78.59,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,53,5110000,68.2,82.67,FALSE,FALSE
Vocational,B,Male,Very Interested,Urban,53,5690000,66.4,86.53,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,54,6160000,120,88.98,TRUE,TRUE
Academic,B,Female,Less Interested,Rural,54,4550000,65.8,84.97,TRUE,FALSE
Vocational,B,Female,Uncertain,Rural,47,6130000,81.5,84.88,TRUE,FALSE
Vocational,A,Male,Uncertain,Rural,52,5620000,74.9,85.15,FALSE,FALSE
Academic,B,Male,Very Interested,Urban,55,5250000,80.7,83.89,FALSE,FALSE
Vocational,B,Female,Uncertain,Rural,54,3700000,99.6,83.5,TRUE,FALSE
Academic,A,Male,Quiet Interested,Urban,55,5120000,49.7,85.73,FALSE,FALSE
Vocational,A,Male,Very Interested,Rural,47,6200000,75.3,82.35,TRUE,TRUE
Vocational,B,Female,Not Interested,Rural,53,4340000,87.5,85.56,TRUE,FALSE
Academic,B,Male,Uncertain,Rural,55,5530000,112.5,88.51,TRUE,TRUE
Academic,B,Male,Quiet Interested,Urban,53,4100000,54,84.9,FALSE,FALSE
Vocational,A,Male,Uncertain,Urban,56,5580000,65.2,85.96,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,58,5370000,72.3,84.78,FALSE,FALSE
Academic,B,Female,Very Interested,Rural,54,5790000,94.9,86.6,TRUE,TRUE
Academic,A,Male,Quiet Interested,Urban,56,5280000,65.6,88.94,FALSE,FALSE
Academic,A,Male,Very Interested,Urban,51,4440000,59.3,84.45,FALSE,FALSE
Academic,A,Male,Uncertain,Urban,54,4940000,100.1,83.52,FALSE,TRUE
Academic,A,Male,Less Interested,Urban,59,3720000,60.7,84.44,FALSE,FALSE
Vocational,B,Female,Very Interested,Rural,46,5920000,90.3,81.98,TRUE,FALSE
Academic,A,Male,Very Interested,Urban,53,4840000,87.7,89.03,FALSE,TRUE
Vocational,A,Female,Very Interested,Rural,50,5470000,67.2,80.9,FALSE,FALSE
Vocational,B,Male,Less Interested,Rural,48,7640000,64.2,86.93,TRUE,TRUE
Vocational,B,Male,Uncertain,Rural,49,5810000,89.5,87.68,TRUE,FALSE
Vocational,B,Male,Uncertain,Rural,48,6280000,72.4,85.15,TRUE,FALSE
Vocational,A,Female,Very Interested,Urban,54,6010000,80.1,87.39,FALSE,TRUE
Vocational,A,Female,Uncertain,Urban,56,4250000,75.9,84.35,FALSE,FALSE
Academic,A,Female,Very Interested,Urban,52,5320000,65.7,85.39,FALSE,TRUE
Academic,A,Male,Less Interested,Urban,54,7260000,92.8,89.07,FALSE,TRUE
Academic,B,Male,Very Interested,Urban,51,4970000,87.8,89.41,TRUE,TRUE
Vocational,B,Female,Not Interested,Rural,50,3010000,76.7,82.93,TRUE,FALSE
Academic,A,Female,Very Interested,Urban,52,8020000,68.5,83.64,FALSE,TRUE
Academic,B,Female,Uncertain,Urban,64,3860000,86.1,85.28,FALSE,TRUE
Academic,A,Female,Very Interested,Urban,52,5980000,72,87.66,FALSE,TRUE
Academic,A,Male,Very Interested,Urban,57,6540000,60.1,85.58,FALSE,FALSE
Vocational,B,Female,Uncertain,Urban,50,7550000,75.6,89.39,FALSE,TRUE
Vocational,A,Female,Uncertain,Urban,53,4330000,63.3,91.09,FALSE,TRUE
Academic,B,Male,Uncertain,Urban,51,4170000,83.8,90.96,TRUE,TRUE
Academic,B,Female,Uncertain,Urban,53,5730000,86.5,83.84,TRUE,TRUE
Academic,B,Male,Uncertain,Urban,48,6090000,68.7,90.83,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,53,6140000,79.7,92.76,TRUE,TRUE
Vocational,A,Male,Uncertain,Rural,51,6040000,71.9,88.74,TRUE,TRUE
Vocational,B,Female,Uncertain,Urban,54,6580000,66.2,88.54,TRUE,TRUE
Vocational,B,Male,Not Interested,Urban,53,5190000,59.9,92.69,TRUE,TRUE
Academic,B,Male,Uncertain,Urban,53,6150000,83.9,91.02,TRUE,TRUE
Academic,A,Male,Uncertain,Rural,51,3510000,78.3,83.9,TRUE,FALSE
Academic,B,Female,Uncertain,Urban,52,8080000,67.8,87.39,FALSE,TRUE
Vocational,B,Male,Uncertain,Urban,58,4540000,63.6,84.63,FALSE,FALSE
Academic,B,Male,Less Interested,Urban,56,4560000,64.1,87.81,FALSE,FALSE
Vocational,B,Female,Not Interested,Rural,52,8400000,76.1,91.53,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,52,7960000,88.2,93.35,TRUE,TRUE
Academic,A,Male,Less Interested,Urban,57,3830000,89.3,84.92,FALSE,TRUE
Vocational,A,Female,Less Interested,Urban,55,5110000,99.3,86.1,FALSE,TRUE
Vocational,A,Male,Quiet Interested,Urban,52,5230000,33.4,81.13,FALSE,FALSE
Vocational,B,Female,Uncertain,Rural,50,6290000,91.3,87.52,TRUE,FALSE
Academic,A,Female,Less Interested,Rural,51,5350000,47.4,82.61,TRUE,FALSE
Academic,B,Female,Very Interested,Urban,54,6570000,83.3,89.42,FALSE,TRUE
Vocational,A,Male,Very Interested,Urban,53,6410000,74.8,85.65,FALSE,TRUE
Academic,B,Female,Uncertain,Rural,48,6750000,91,85.01,TRUE,TRUE
Academic,B,Male,Uncertain,Urban,52,6200000,67.8,88.72,TRUE,TRUE
